seg_id,seg_code
A0A003_1,0
A0A009IHW8_1,0
A0A010_1,0
A0A011_1,0
A0A014C6J9_1,0
A0A014M399_1,0
A0A017T5A5_1,0
A0A022MQ12_1,0
A0A022MRT4_1,0
A0A023DFE8_1,0
A0A023GPI8_1,0
A0A023GUL3_1,0
A0A023GUP0_1,0
A0A023H437_1,0
A0A023I7E1_1,0
A0A023PKG5_1,0
A0A023T3X2_1,0
A0A023UGN9_1,0
A0A023X3C8_1,0
A0A023X3Z4_1,0
A0A024AX32_1,0
A0A024B5J2_1,0
A0A024B7W1_3,0
A0A024B7W1_4,0
A0A024B7W1_5,0
A0A024B7W1_8,0
A0A024B7W1_9,0
A0A024B7W1_10,0
A0A024B7W1_11,0
A0A024B7W1_12,0
A0A024E1X5_1,0
A0A024E3Q2_1,0
A0A024FRL9_1,0
A0A024FSS5_1,0
A0A024H8G7_1,0
A0A024L327_1,0
A0A024QYS6_1,0
A0A024RAV5_1,0
A0A024S820_1,0
A0A024SC78_1,0
A0A024V0B1_1,0
A0A031LR83_1,0
A0A031LXI5_1,0
A0A031WDE4_1,0
A0A031WG99_1,0
A0A031WIF2_1,0
A0A034W4L8_1,0
A0A037YMJ1_1,0
A0A045GW18_1,0
A0A045H5L3_1,0
A0A045H759_1,0
A0A045HJY9_1,0
A0A045IAS2_1,0
A0A045IZN1_1,0
A0A045J9E2_1,0
A0A045JB88_1,0
A0A045JQ63_1,0
A0A059Q5E8_1,0
A0A059Q6U2_1,0
A0A059T4A1_1,0
A0A059TC02_1,0
A0A059TXD8_1,0
A0A059U759_1,0
A0A059VAZ3_1,0
A0A059VBQ9_1,0
A0A059VJE6_1,0
A0A059VJE6_2,0
A0A059WF38_1,0
A0A059WHZ9_1,0
A0A059WLS9_1,0
A0A059WV44_1,0
A0A059WYP6_1,0
A0A059WZ16_1,0
A0A059X981_1,0
A0A059ZFC5_1,0
A0A059ZPG7_1,0
A0A059ZPP5_1,0
A0A060GPP4_1,0
A0A060GPQ0_1,0
A0A060GPQ5_1,0
A0A060GSW0_1,0
A0A060GSW5_1,0
A0A060GSX0_1,0
A0A060GTM0_1,0
A0A060GTM7_1,0
A0A060GYS1_1,0
A0A060GYS7_1,0
A0A060GZX0_1,0
A0A060GZX7_1,0
A0A060H1D7_1,0
A0A060IN49_1,0
A0A060M4R1_1,0
A0A060P168_1,0
A0A060SC37_1,0
A0A060SRI5_1,0
